x,y,time,id_pan
232420.42103090943,6347651.945920282,1652880712174,29
232409.07490952336,6347682.998463024,1652880712274,29
232397.1316238538,6347712.8566772,1652880712373,29
232381.6053524834,6347745.103548508,1652880712473,29
232484.6290415868,6347741.855628844,1652880713873,30
232471.4914273503,6347745.438614545,1652880713972,30
232457.15948454684,6347749.021600246,1652880714072,30
232436.25873462512,6347753.7989145145,1652880714172,30
232412.37216328603,6347756.784735932,1652880714273,30
232405.8033561678,6347756.784735932,1652880714373,30
232403.41469903386,6347756.784735932,1652880714485,30
232403.41469903386,6347756.784735932,1652880714579,30
232403.41469903386,6347756.784735932,1652880714673,30
232403.41469903386,6347756.784735932,1652880714783,30
232403.41469903386,6347756.784735932,1652880714878,30
232403.41469903386,6347756.784735932,1652880714988,30
232403.41469903386,6347756.784735932,1652880715080,30
232391.4714133643,6347755.590407365,1652880715175,30
232384.30544196258,6347754.396078798,1652880715274,30
232379.5281276948,6347753.201750231,1652880715374,30
232375.9451419939,6347752.007421664,1652880715473,30
232369.97349915915,6347751.41025738,1652880715574,30
232368.1820063087,6347751.41025738,1652880715674,30
